cluster,size,percentage,top_terms
0,2,0.006230917814194031,"11 fine, 5s ios, worried, 5s, happen, fine, ll, using, ios 11, ios, 11, yup ve, yup, yrs, youtube video"
1,12354,38.48837933827653,"11, iphone, ios, thanks, ios 11, update, yes, thank, phone, just, did, updated, apple, work, ve"
2,1,0.0031154589070970153,"random letters, replaces, happened today, symbols, sudden, letters, glitch, random, hasn, today, happened, phone, zip, zero problems, zero help"
3,1,0.0031154589070970153,"scenario, understanding, logic, having trouble, makes sense, provide, sense, trouble, makes, having, thanks, zoom, zone, zip, zero problems"
4,14,0.04361642469935822,"updated newest, newest version, newest, version, updated, literally, night, happened, heck, version 11, soon updated, slow, yeah, laggy, snapchat"
5,19693,61.352732257461525,"apple, don, phone, screen, just, app, like, issue, apps, dm, know, problem, time, ve, doesn"
6,1,0.0031154589070970153,"ipad doesn, doesn ring, wife iphone, iphone tried, ipad, ipad iphone, ring, wife, facetime, iphone, doesn, tried, yes, zero, yup ve"
7,5,0.015577294535485078,"8plus, 6plus, issues, ios 11, ios, 11, zero problems, zero help, zero, yup ve, yup, yrs, youtube video, youtube app, youtube"
8,1,0.0031154589070970153,"times restart, bunch, facetime, restart phone, receive, order, happened, restart, times, phone, zoom, zone, zip, zero problems, zero help"
9,1,0.0031154589070970153,"computer, phone brand, phone connected, phone computer, phone getting, prompts, getting message, plug phone, phone, brand new, brand, plug, reset phone, new phone, connected"
10,3,0.009346376721291046,"considering, feedback, thank, provide, 00, zoom, zone, zip, zero problems, zero help, zero, yup ve, yup, yrs, youtube video"
11,22,0.06854009595613435,"waiting response, waiting, response, message waiting, response thanks, private message, private, details, send, message, did, thanks, 00, zoom, zone"
