cluster,rank,customer_text,brand_text
0,1,"@AppleSupport Yes, they are all there! How do I get them to show up in ITunes?",@432500 Check this. iTunes Store app More (...) &gt; Purchased &gt; Music. Do you see all of it there?
0,2,@AppleSupport Are you serious Apple what more analytics more new installs via itunes,@176402 Let's help. Reach out to us via DM and we can go from there. https://t.co/GDrqU22YpT
0,3,@AppleSupport I imported them to iTunes when I switched to iPhone. I can still play them in iTunes. I'm running IOS 11.1,"@727894 Are these songs that were purchased directly via iTunes? Also, to clarify, are you able to access these songs from another device?"
0,4,@AppleSupport It just happend and i do have access to itunes,"@682276 We're happy to help. Let's get some background here. Was it like this right out of the box, or did this just happen? Also, do you have access to a computer that has or could be used for iTunes?"
0,5,@AppleSupport My audiobooks are no longer in iTunes because iTunes took them out. My playlists were also deleted by iTunes.,@378434 We understand. Your audiobooks will need to be synced again from iTunes. Read about backups here: https://t.co/ivWkXxUY3s
0,6,"@AppleSupport I want to activate it via itunes, but when I connect to itunes its error 💆",@359111 We're here to help! Check out this article regarding iPhone activation: https://t.co/ywHIZGN4Ac
0,7,@AppleSupport That’s what I am about to do but I d like to be able to do it without iTunes next time,@177558 Have you tried to run this update using iTunes?
0,8,@AppleSupport I was using Settings but now I'm trying the iTunes approach.,@554414 We understand what you mean. Are you using iTunes or the Settings app on your iPhone to update with?
0,9,"@AppleSupport While I'm at it, how do I relocate my iTunes? It's on my desktop computer and to move every song then start a new iTunes just to have it elsewhere is traumatizing to think about!","@727169 Hey there! That's not something anyone wants to see on their iPod, but we're more than happy to help. Try the steps on this page: https://t.co/NwuzhYTI4O If they don't help, let us know in DM through the following link and we'll look into your options. https://t.co/GDrqU22YpT"
0,10,@AppleSupport I am running iTunes 12.6.2.20 on Windows 7.,@724202 Let's get this sorted out. What version of Windows are you using? Is your iTunes up to date? https://t.co/g2HM9lnith
1,1,"@AppleSupport I have the last one, iOS 11.0.3",@393033 That is not the type of experience we want you to have with your device. What version of iOS 11 do you have?
1,2,@AppleSupport I have a iPhone 7 and the lastest iOS 11.0.2 https://t.co/s0YQkNPDPa,@196312 Let's look into this together. Which iPhone and iOS version are you using?
1,3,@AppleSupport It happens on both. And it’s iOS 11.0.3,"@396520 Does this happen on both a Wi-Fi and cellular data connection? Also, what's the exact iOS version?"
1,4,@AppleSupport It started dramatically with iOS 11.1.1,@776606 We've got your back. Please share with us in DM letting us know if the battery life issue started with iOS 11.1.2. https://t.co/GDrqU22YpT
1,5,"@AppleSupport it’s been reset, and ios 11.1.2","@267193 Thanks for confirming. Since the issue first began, has your iPhone been restarted? Also, what version of iOS is running on it? You can find the version number in Settings &gt; General &gt; About. https://t.co/GDrqU22YpT"
1,6,@AppleSupport @302491 IOS 11.0.3 dosent fix anything apple,@302491 We'd love to help with your battery life! Which version of iOS are you using under Settings &gt; General &gt; About?
1,7,@AppleSupport Everything is up to date barring iOS 11.1.,@453722 Let's work together to figure this out. What iOS version are you using? Are all of your apps up to date?
1,8,@AppleSupport No i am not and i have updated to ios 11.0.3,@327483 We want to help you out with this! Are you using any sort of case on the device that may be covering the button?
1,9,"@AppleSupport Não dá iOS 11.1.1 voltando pr 11, adeus, n dá mais, trava mais q meu pc","Seeing an i️ whenever you type “i"" in iOS 11.1? 

Fix it by installing the latest software update.
https://t.co/NX7ObPTLvY"
1,10,@AppleSupport both. nothing will update since iOS 11.1.,"@508721 We know how important it is to have the latest app updates. Are you having this issue on WiFi, cellular, or both?"
2,1,@AppleSupport But is it the same amount as what you would get when you first update?,"@203476 In iOS 11, these are the default controls that should show in Control Center."
