cluster,size,percentage,top_terms
0,526,2.014245232442368,"itunes, running, running 11, 11, version, iphone, 12, just, currently, phone, pc, app, using, computer, latest"
1,1719,6.582675959255571,"11, ios 11, ios, updated, update, battery, updated ios, iphone, phone, problem, running ios, running, 10, update ios, issue"
2,1726,6.609481504174005,"update, new, new update, phone, latest, latest update, 11, just, battery, software, did, software update, fix, iphone, ios update"
3,1921,7.3562073983303975,"just, fix, turn, issue, don, problem, screen, want, did, like, iphone, know, doesn, time, fix problem"
4,611,2.3397411350233592,"ios, 11, iphone, ios 11, latest, version, iphone ios, 11 iphone, latest ios, version 11, iphone plus, plus, latest version, using, version ios"
5,2400,9.190472543463276,"phone, apps, like, updated, screen, freezing, new, freezes, just, restart, battery, app, time, slow, times"
6,1435,5.495136708279084,"apple, support, store, apple store, apple support, apple id, id, phone, watch, apple watch, new, just, iphone, apple logo, ve"
7,1079,4.131883280998698,"work, doesn, doesn work, didn work, didn, tried, screen, did, phone, don, does, just, doesn help, iphone, app"
8,1464,5.606188251512599,"thanks, reply, response, help, thanks help, thanks reply, just, ll, fixed, quick, dm, sent, thanks quick, thanks response, worked"
9,1436,5.49896607183886,"yes, ve, tried, ve tried, wifi, times, yes ve, restarted, app, time, just, iphone, updated, issue, phone"
10,9216,35.29141456689898,"thank, don, issue, dm, problem, help, did, time, app, screen, know, like, tried, sent, message"
11,772,2.956268668147354,"working, fine, working fine, isn working, phone, isn, tried, stopped, stopped working, thanks, just, update, yes, ve, apps"
12,953,3.6493834724668757,"iphone, 6s, iphone 6s, plus, iphone plus, 11, 6s plus, ios, using, using iphone, ios 11, 6s ios, updated, issue, 11 iphone"
13,251,0.9611702535038676,"control, control center, center, control centre, centre, wifi, device, turn, settings, connected, bluetooth, music, panel, control panel, volume"
14,605,2.316764953664701,"music, apple music, apple, app, music app, playing, play, phone, song, library, just, itunes, iphone, screen, using"
